"행정구역","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율"
"서울특별시 노원구 하계1동(1135061100)","26,295","12,286","          2.14","12,608","13,687","          0.92"
"서울특별시 노원구 하계2동(1135061200)","21,339","8,195","          2.60","10,136","11,203","          0.90"
"서울특별시 노원구 중계본동(1135061900)","23,079","8,151","          2.83","11,189","11,890","          0.94"
"서울특별시 노원구 중계1동(1135062100)","26,357","8,918","          2.96","12,858","13,499","          0.95"
"서울특별시 노원구 중계4동(1135062400)","19,167","8,211","          2.33","9,184","9,983","          0.92"
"서울특별시 노원구 중계2.3동(1135062500)","32,588","14,993","          2.17","14,876","17,712","          0.84"
"서울특별시 노원구 상계1동(1135063000)","37,003","15,586","          2.37","17,789","19,214","          0.93"
"서울특별시 노원구 상계2동(1135064000)","19,174","8,560","          2.24","9,447","9,727","          0.97"
"서울특별시 노원구 상계3.4동(1135066500)","27,462","12,411","          2.21","13,666","13,796","          0.99"
"서울특별시 노원구 상계5동(1135067000)","23,072","10,897","          2.12","11,190","11,882","          0.94"
"서울특별시 노원구 상계6.7동(1135069500)","31,477","13,897","          2.27","14,503","16,974","          0.85"
"서울특별시 노원구 상계8동(1135070000)","21,902","9,146","          2.39","10,441","11,461","          0.91"
"서울특별시 노원구 상계9동(1135071000)","19,683","8,341","          2.36","9,217","10,466","          0.88"
"서울특별시 노원구 상계10동(1135072000)","18,275","7,663","          2.38","8,411","9,864","          0.85"
"서울특별시 은평구 (1138000000)","467,124","215,694","          2.17","221,903","245,221","          0.90"
"서울특별시 은평구 녹번동(1138051000)","36,151","17,619","          2.05","16,983","19,168","          0.89"
"서울특별시 은평구 불광제1동(1138052000)","37,536","17,683","          2.12","17,614","19,922","          0.88"
"서울특별시 은평구 불광제2동(1138053000)","26,781","14,092","          1.90","12,888","13,893","          0.93"
"서울특별시 은평구 갈현제1동(1138055100)","14,595","7,409","          1.97","7,084","7,511","          0.94"
"서울특별시 은평구 갈현제2동(1138055200)","27,543","12,576","          2.19","12,986","14,557","          0.89"
"서울특별시 은평구 구산동(1138056000)","31,525","13,506","          2.33","15,317","16,208","          0.95"
"서울특별시 은평구 대조동(1138057000)","27,332","15,313","          1.78","12,619","14,713","          0.86"
"서울특별시 은평구 응암제1동(1138058000)","32,677","15,088","          2.17","15,292","17,385","          0.88"
"서울특별시 은평구 응암제2동(1138059000)","27,366","11,040","          2.48","13,227","14,139","          0.94"
"서울특별시 은평구 응암제3동(1138060000)","23,513","12,519","          1.88","11,306","12,207","          0.93"
"서울특별시 은평구 역촌동(1138062500)","43,933","20,647","          2.13","20,575","23,358","          0.88"
"서울특별시 은평구 신사제1동(1138063100)","26,524","12,047","          2.20","12,708","13,816","          0.92"
"서울특별시 은평구 신사제2동(1138063200)","18,977","8,716","          2.18","9,418","9,559","          0.99"
"서울특별시 은평구 증산동(1138064000)","18,343","7,986","          2.30","8,883","9,460","          0.94"
"서울특별시 은평구 수색동(1138065000)","19,945","8,092","          2.46","9,708","10,237","          0.95"
"서울특별시 은평구 진관동(1138069000)","54,383","21,361","          2.55","25,295","29,088","          0.87"
"서울특별시 서대문구 (1141000000)","306,927","147,074","          2.09","145,820","161,107","          0.91"
"서울특별시 서대문구 천연동(1141052000)","16,620","7,649","          2.17","7,815","8,805","          0.89"
"서울특별시 서대문구 북아현동(1141055500)","15,451","7,055","          2.19","7,405","8,046","          0.92"
"서울특별시 서대문구 충현동(1141056500)","19,678","10,070","          1.95","9,466","10,212","          0.93"
"서울특별시 서대문구 신촌동(1141058500)","20,359","14,936","          1.36","8,798","11,561","          0.76"
"서울특별시 서대문구 연희동(1141061500)","34,107","18,738","          1.82","16,242","17,865","          0.91"
"서울특별시 서대문구 홍제제1동(1141062000)","24,758","11,015","          2.25","11,571","13,187","          0.88"
"서울특별시 서대문구 홍제제3동(1141064000)","17,730","8,026","          2.21","8,509","9,221","          0.92"
"서울특별시 서대문구 홍제제2동(1141065500)","13,198","5,761","          2.29","6,170","7,028","          0.88"
"서울특별시 서대문구 홍은제1동(1141066000)","22,216","9,714","          2.29","10,713","11,503","          0.93"
"서울특별시 서대문구 홍은제2동(1141068500)","28,613","13,208","          2.17","13,734","14,879","          0.92"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,702","6,146","          2.72","7,998","8,704","          0.92"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,160","13,353","          2.18","14,081","15,079","          0.93"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,596","6,803","          2.59","8,417","9,179","          0.92"
"서울특별시 서대문구 북가좌제2동(1141072000)","30,739","14,600","          2.11","14,901","15,838","          0.94"
"서울특별시 마포구 (1144000000)","363,953","181,052","          2.01","170,141","193,812","          0.88"
"서울특별시 마포구 아현동(1144055500)","28,526","12,095","          2.36","13,280","15,246","          0.87"
"서울특별시 마포구 공덕동(1144056500)","36,584","18,611","          1.97","17,101","19,483","          0.88"
"서울특별시 마포구 도화동(1144058500)","20,615","9,313","          2.21","9,777","10,838","          0.90"
"서울특별시 마포구 용강동(1144059000)","21,262","9,291","          2.29","10,025","11,237","          0.89"
"서울특별시 마포구 대흥동(1144060000)","14,489","8,749","          1.66","7,027","7,462","          0.94"
"서울특별시 마포구 염리동(1144061000)","16,834","7,779","          2.16","8,034","8,800","          0.91"
"서울특별시 마포구 신수동(1144063000)","22,129","10,009","          2.21","10,795","11,334","          0.95"
"서울특별시 마포구 서강동(1144065500)","24,553","12,158","          2.02","11,695","12,858","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,091","15,277","          1.58","11,006","13,085","          0.84"
"서울특별시 마포구 합정동(1144068000)","16,392","9,204","          1.78","7,532","8,860","          0.85"
"서울특별시 마포구 망원제1동(1144069000)","19,157","10,146","          1.89","8,909","10,248","          0.87"
"서울특별시 마포구 망원제2동(1144070000)","17,994","8,355","          2.15","8,378","9,616","          0.87"
"서울특별시 마포구 연남동(1144071000)","14,284","8,387","          1.70","6,733","7,551","          0.89"
"서울특별시 마포구 성산제1동(1144072000)","18,575","9,478","          1.96","8,664","9,911","          0.87"
"서울특별시 마포구 성산제2동(1144073000)","38,772","19,495","          1.99","17,232","21,540","          0.80"
"서울특별시 마포구 상암동(1144074000)","29,696","12,705","          2.34","13,953","15,743","          0.89"
"서울특별시 양천구 (1147000000)","437,199","181,038","          2.41","213,482","223,717","          0.95"
"서울특별시 양천구 목1동(1147051000)","30,278","10,346","          2.93","14,549","15,729","          0.92"
"서울특별시 양천구 목2동(1147052000)","29,003","13,373","          2.17","14,023","14,980","          0.94"
"서울특별시 양천구 목3동(1147053000)","21,284","10,077","          2.11","10,106","11,178","          0.90"
"서울특별시 양천구 목4동(1147054000)","24,504","9,998","          2.45","11,947","12,557","          0.95"
"서울특별시 양천구 목5동(1147055000)","40,679","13,453","          3.02","20,155","20,524","          0.98"
"서울특별시 양천구 신월1동(1147056000)","19,545","10,095","          1.94","10,023","9,522","          1.05"
"서울특별시 양천구 신월2동(1147057000)","20,834","8,711","          2.39","10,160","10,674","          0.95"
"서울특별시 양천구 신월3동(1147058000)","14,390","7,748","          1.86","7,572","6,818","          1.11"
"서울특별시 양천구 신월4동(1147059000)","17,470","6,849","          2.55","8,500","8,970","          0.95"
"서울특별시 양천구 신월5동(1147060000)","14,080","6,379","          2.21","6,968","7,112","          0.98"
